Fri Apr 17 13:02:36 2015

Tid	Sleep	Eat	VE Work	Leisure	
00:01:03	1.000000	0.400000	0.200000	0.400000	
00:02:02	1.000000	0.400000	0.200000	0.400000	
00:03:02	1.000000	0.400000	0.200000	0.400000	
00:04:03	1.000000	0.400000	0.200000	0.400000	
00:05:02	1.000000	0.396000	0.202800	0.398000	
00:06:02	1.000000	0.392000	0.205600	0.396000	
00:07:03	1.000000	0.388000	0.208400	0.394000	
00:08:02	1.000000	0.384000	0.211200	0.392000	
00:09:02	1.000000	0.380000	0.214000	0.390000	
00:10:02	1.000000	0.376000	0.216800	0.388000	
00:11:02	1.000000	0.372000	0.219600	0.386000	
00:12:02	1.000000	0.368000	0.222400	0.384000	
00:13:03	1.000000	0.364000	0.225200	0.382000	
00:14:03	1.000000	0.360000	0.228000	0.380000	
00:15:03	1.000000	0.356000	0.230800	0.378000	
00:16:02	1.000000	0.352000	0.233600	0.376000	
00:17:02	1.000000	0.348000	0.236400	0.374000	
00:18:02	1.000000	0.344000	0.239200	0.372000	
00:19:02	1.000000	0.340000	0.242000	0.370000	
00:20:02	1.000000	0.336000	0.244800	0.368000	
00:21:02	1.000000	0.332000	0.247600	0.366000	
00:22:02	1.000000	0.328000	0.250400	0.364000	
00:23:02	1.000000	0.324000	0.253200	0.362000	
00:24:02	1.000000	0.320000	0.256000	0.360000	
00:25:03	1.000000	0.316000	0.258800	0.358000	
00:26:03	1.000000	0.312000	0.261600	0.356000	
00:27:03	1.000000	0.308000	0.264400	0.354000	
00:28:03	1.000000	0.304000	0.267200	0.352000	
00:29:03	1.000000	0.300000	0.270000	0.350000	
00:30:02	1.000000	0.296000	0.272800	0.348000	
00:31:02	1.000000	0.292000	0.275600	0.346000	
00:32:02	1.000000	0.288000	0.278400	0.344000	
00:33:02	1.000000	0.284000	0.281200	0.342000	
00:34:02	1.000000	0.280000	0.284000	0.340000	
00:35:02	1.000000	0.276000	0.286800	0.338000	
00:36:02	1.000000	0.272000	0.289600	0.336000	
00:37:02	1.000000	0.268000	0.292400	0.334000	
00:38:03	1.000000	0.264000	0.295200	0.332000	
00:39:03	1.000000	0.260000	0.298000	0.330000	
00:40:03	1.000000	0.256000	0.300800	0.328000	
00:41:03	1.000000	0.252000	0.303600	0.326000	
00:42:03	1.000000	0.248000	0.306400	0.324000	
00:43:02	1.000000	0.244000	0.309200	0.322000	
00:44:02	1.000000	0.240000	0.312000	0.320000	
00:45:02	1.000000	0.236000	0.314800	0.318000	
00:46:02	1.000000	0.232000	0.317600	0.316000	
00:47:02	1.000000	0.228000	0.320400	0.314000	
00:48:02	1.000000	0.224000	0.323200	0.312000	
00:49:02	1.000000	0.220000	0.326000	0.310000	
00:50:02	1.000000	0.216000	0.328800	0.308000	
00:51:02	1.000000	0.212000	0.331600	0.306000	
00:52:02	1.000000	0.208000	0.334400	0.304000	
00:53:03	1.000000	0.204000	0.337200	0.302000	
00:54:03	1.000000	0.200000	0.340000	0.300000	
00:55:03	1.000000	0.196000	0.342800	0.298000	
00:56:02	1.000000	0.192000	0.345600	0.296000	
00:57:02	1.000000	0.188000	0.348400	0.294000	
00:58:02	1.000000	0.184000	0.351200	0.292000	
00:59:02	1.000000	0.180000	0.354000	0.290000	
00:60:02	1.000000	0.176000	0.356800	0.288000	
01:01:02	1.000000	0.172000	0.359600	0.286000	
01:02:02	1.000000	0.168000	0.362400	0.284000	
01:03:02	1.000000	0.164000	0.365200	0.282000	
01:04:02	1.000000	0.160000	0.368000	0.280000	
01:05:02	1.000000	0.156000	0.370800	0.278000	
01:06:02	1.000000	0.152000	0.373599	0.276000	
01:07:02	1.000000	0.148000	0.376399	0.274000	
01:08:02	1.000000	0.144000	0.379199	0.272000	
01:09:02	1.000000	0.140000	0.381999	0.270000	
01:10:02	1.000000	0.136000	0.384799	0.268000	
01:11:02	1.000000	0.132000	0.387599	0.266000	
01:12:02	1.000000	0.132000	0.387599	0.266000	
01:13:02	1.000000	0.132000	0.387599	0.266000	
