Fri Apr 17 13:07:10 2015

Tid	Sleep	Eat	VE Work	Leisure	
00:01:03	0.100000	0.600000	0.400000	0.800000	
00:02:02	0.100000	0.600000	0.400000	0.800000	
00:03:02	0.100000	0.600000	0.400000	0.800000	
00:04:03	0.102100	0.597920	0.400000	0.800000	
00:05:03	0.104200	0.595840	0.400000	0.800000	
00:06:03	0.106300	0.593760	0.400000	0.800000	
00:07:02	0.108400	0.591680	0.400000	0.800000	
00:08:02	0.110500	0.589600	0.400000	0.800000	
00:09:03	0.112600	0.587520	0.400000	0.800000	
00:10:03	0.114700	0.585440	0.400000	0.800000	
00:11:03	0.116800	0.583360	0.400000	0.800000	
00:12:02	0.118900	0.581280	0.400000	0.800000	
00:13:02	0.121000	0.579200	0.400000	0.800000	
00:14:02	0.123100	0.577120	0.400000	0.800000	
00:15:02	0.125200	0.575040	0.400000	0.800000	
00:16:02	0.127300	0.572960	0.400000	0.800000	
00:17:02	0.129400	0.570880	0.400000	0.800000	
00:18:02	0.131500	0.568800	0.400000	0.800000	
00:19:03	0.133600	0.566720	0.400000	0.800000	
00:20:02	0.135700	0.564640	0.400000	0.800000	
00:21:03	0.137800	0.562560	0.400000	0.800000	
00:22:03	0.139900	0.560480	0.400000	0.800000	
00:23:03	0.142000	0.558400	0.400000	0.800000	
00:24:03	0.144100	0.556320	0.400000	0.800000	
00:25:03	0.146200	0.554240	0.400000	0.800000	
00:26:03	0.148300	0.552159	0.400000	0.800000	
00:27:03	0.150400	0.550079	0.400000	0.800000	
00:28:03	0.152500	0.547999	0.400000	0.800000	
00:29:03	0.154600	0.545919	0.400000	0.800000	
00:30:03	0.156700	0.543839	0.400000	0.800000	
00:31:03	0.158800	0.541759	0.400000	0.800000	
00:32:02	0.160900	0.539679	0.400000	0.800000	
00:33:02	0.163000	0.537599	0.400000	0.800000	
00:34:02	0.165100	0.535519	0.400000	0.800000	
00:35:02	0.167200	0.533439	0.400000	0.800000	
00:36:02	0.169300	0.531359	0.400000	0.800000	
00:37:03	0.171400	0.529279	0.400000	0.800000	
00:38:03	0.173500	0.527199	0.400000	0.800000	
00:39:03	0.175600	0.525119	0.400000	0.800000	
00:40:03	0.177700	0.523039	0.400000	0.800000	
00:41:03	0.179800	0.520959	0.400000	0.800000	
00:42:03	0.181900	0.518879	0.400000	0.800000	
00:43:03	0.184000	0.516799	0.400000	0.800000	
00:44:03	0.186100	0.514719	0.400000	0.800000	
00:45:02	0.188200	0.512639	0.400000	0.800000	
00:46:02	0.190300	0.510559	0.400000	0.800000	
00:47:02	0.192400	0.508479	0.400000	0.800000	
00:48:02	0.194500	0.506399	0.400000	0.800000	
00:49:02	0.196600	0.504319	0.400000	0.800000	
