Thu Apr 02 13:42:41 2015

Tid	Sleep	Eat	VE Work	Leisure	
00:01:03	0.500000	1.000000	0.900000	1.000000	
00:02:02	0.499653	0.997917	0.900000	1.000000	
00:03:02	0.499305	0.995833	0.900000	1.000000	
00:04:03	0.498958	0.993750	0.900000	1.000000	
00:05:02	0.498611	0.991666	0.900000	1.000000	
00:06:02	0.482264	1.189583	0.900000	1.000000	
00:07:03	0.449917	1.587499	0.900000	1.000000	
00:08:02	0.425569	1.885416	0.900000	1.000000	
00:09:02	0.401222	2.183332	0.900000	1.000000	
00:10:03	0.368875	2.581248	0.900000	1.000000	
00:11:02	0.344528	2.879164	0.900000	1.000000	
00:12:02	0.320180	3.177080	0.900000	1.000000	
00:13:03	0.311833	3.274997	0.900000	1.000000	
00:14:02	0.311486	3.272913	0.900000	1.000000	
00:15:02	0.311139	3.270830	0.900000	1.000000	
00:16:02	0.310791	3.268746	0.900000	1.000000	
00:17:02	0.311444	3.266163	0.900000	1.000000	
00:18:03	0.315097	3.262079	0.900000	1.000000	
00:19:02	0.317750	3.258496	0.900000	1.000000	
00:20:02	0.320402	3.254912	0.900000	1.000000	
00:21:03	0.324055	3.250829	0.900000	1.000000	
00:22:02	0.326708	3.247246	0.900000	1.000000	
00:23:02	0.329360	3.243662	0.900000	1.000000	
00:24:03	0.333013	3.239579	0.900000	1.000000	
00:25:03	0.335666	3.235995	0.900000	1.000000	
00:26:02	0.338318	3.232412	0.900000	1.000000	
00:27:03	0.341971	3.228328	0.900000	1.000000	
00:28:03	0.344624	3.224745	0.900000	1.000000	
00:29:02	0.347277	3.221162	0.900000	1.000000	
00:30:02	0.349929	3.217578	0.900000	1.000000	
00:31:03	0.353582	3.213495	0.900000	1.000000	
00:32:02	0.356235	3.209911	0.900000	1.000000	
00:33:02	0.358887	3.206328	0.900000	1.000000	
00:34:03	0.362540	3.202245	0.900000	1.000000	
00:35:03	0.365193	3.198661	0.900000	1.000000	
00:36:02	0.367846	3.195078	0.900000	1.000000	
00:37:02	0.370498	3.191494	0.900000	1.000000	
00:38:03	0.374151	3.187411	0.900000	1.000000	
00:39:02	0.376804	3.183827	0.900000	1.000000	
00:40:02	0.379456	3.180244	0.900000	1.000000	
00:41:03	0.383109	3.176161	0.900000	1.000000	
00:42:02	0.385762	3.172577	0.900000	1.000000	
00:43:02	0.385414	3.170494	0.900000	1.000000	
00:44:03	0.385067	3.168410	0.900000	1.000000	
00:45:03	0.384720	3.166327	0.900000	1.000000	
00:46:02	0.384373	3.164243	0.900000	1.000000	
00:47:02	0.376025	3.262159	0.900000	1.000000	
00:48:03	0.351678	3.560076	0.900000	1.000000	
00:49:02	0.351331	3.557992	0.900000	1.000000	
00:50:02	0.350984	3.555908	0.900000	1.000000	
00:51:03	0.350636	3.553825	0.900000	1.000000	
00:52:02	0.350289	3.551741	0.900000	1.000000	
00:53:02	0.351942	3.548658	0.900000	1.000000	
00:54:03	0.355595	3.544574	0.900000	1.000000	
00:55:03	0.358247	3.540991	0.900000	1.000000	
00:56:02	0.360900	3.537408	0.900000	1.000000	
00:57:02	0.363553	3.533824	0.900000	1.000000	
00:58:03	0.367205	3.529741	0.900000	1.000000	
00:59:02	0.369858	3.526157	0.900000	1.000000	
00:60:02	0.372511	3.522574	0.900000	1.000000	
01:01:03	0.376164	3.518491	0.900000	1.000000	
01:02:02	0.378816	3.514907	0.900000	1.000000	
01:03:02	0.381469	3.511324	0.900000	1.000000	
01:04:03	0.385122	3.507240	0.900000	1.000000	
01:05:03	0.387774	3.503657	0.900000	1.000000	
01:06:02	0.390427	3.500073	0.900000	1.000000	
01:07:02	0.393080	3.496490	0.900000	1.000000	
01:08:03	0.396732	3.492407	0.900000	1.000000	
01:09:02	0.399385	3.488823	0.900000	1.000000	
01:10:02	0.402038	3.485240	0.900000	1.000000	
01:11:03	0.405691	3.481156	0.900000	1.000000	
01:12:02	0.408343	3.477573	0.900000	1.000000	
01:13:02	0.410996	3.473989	0.900000	1.000000	
01:14:03	0.414649	3.469906	0.900000	1.000000	
01:15:03	0.417301	3.466323	0.900000	1.000000	
01:16:02	0.419954	3.462739	0.900000	1.000000	
01:17:03	0.423607	3.458656	0.900000	1.000000	
01:18:03	0.425259	3.455572	0.900000	1.000000	
01:19:02	0.424912	3.453489	0.900000	1.000000	
01:20:02	0.424565	3.451405	0.900000	1.000000	
01:21:03	0.424218	3.449322	0.900000	1.000000	
01:22:02	0.423870	3.447238	0.900000	1.000000	
01:23:02	0.407523	3.645154	0.900000	1.000000	
01:24:02	0.391176	3.843071	0.900000	1.000000	
01:25:03	0.390829	3.840987	0.900000	1.000000	
01:26:02	0.390481	3.838904	0.900000	1.000000	
01:27:02	0.390134	3.836820	0.900000	1.000000	
01:28:03	0.389787	3.834737	0.900000	1.000000	
01:29:02	0.392440	3.831153	0.900000	1.000000	
01:30:02	0.395092	3.827570	0.900000	1.000000	
01:31:02	0.397745	3.823986	0.900000	1.000000	
01:32:03	0.401398	3.819903	0.900000	1.000000	
01:33:02	0.404050	3.816319	0.900000	1.000000	
