Tue Apr 07 16:00:46 2015

Tid	Sleep	Eat	VE Work	Leisure	
00:01:03	0.500000	0.500000	0.500000	0.500000	
00:02:02	0.499653	0.497916	0.500000	0.500000	
00:03:02	0.499305	0.495833	0.500000	0.500000	
00:04:03	0.498958	0.493749	0.500000	0.500000	
00:05:02	0.488611	0.501666	0.500000	0.500000	
00:06:02	0.458264	0.529582	0.500000	0.500000	
00:07:03	0.447917	0.537499	0.500000	0.500000	
00:08:02	0.447569	0.535415	0.500000	0.500000	
00:09:02	0.447222	0.533332	0.500000	0.500000	
00:10:03	0.466875	0.511249	0.500000	0.500000	
00:11:02	0.496527	0.479165	0.500000	0.500000	
00:12:02	0.526180	0.447082	0.500000	0.500000	
00:13:03	0.535833	0.434998	0.500000	0.500000	
00:14:02	0.535486	0.432915	0.500000	0.500000	
00:15:02	0.535138	0.430831	0.500000	0.500000	
00:16:03	0.514791	0.448748	0.500000	0.500000	
00:17:02	0.484444	0.476664	0.500000	0.500000	
00:18:02	0.454097	0.504580	0.500000	0.500000	
00:01:03	0.500000	0.500000	0.500000	0.500000	
00:02:02	0.499653	0.497916	0.500000	0.500000	
00:03:02	0.499305	0.495833	0.500000	0.500000	
00:04:03	0.498958	0.493749	0.500000	0.500000	
00:05:02	0.498611	0.491666	0.500000	0.500000	
00:06:02	0.498264	0.509582	0.480000	0.500000	
00:07:03	0.497916	0.517499	0.470000	0.500000	
00:08:02	0.497569	0.515415	0.470000	0.500000	
00:09:02	0.497222	0.513332	0.470000	0.500000	
00:10:03	0.496875	0.511249	0.500000	0.470000	
00:11:02	0.496527	0.509165	0.530000	0.440000	
00:12:02	0.496180	0.507082	0.560000	0.410000	
00:13:03	0.495833	0.504998	0.570000	0.400000	
00:14:03	0.495486	0.502915	0.570000	0.400000	
00:15:02	0.495138	0.500831	0.570000	0.400000	
00:16:02	0.494791	0.498748	0.570000	0.400000	
00:17:03	0.494444	0.496664	0.570000	0.400000	
00:18:02	0.464097	0.494581	0.570000	0.430000	
00:19:02	0.433749	0.492497	0.570000	0.460000	
