Thu Apr 16 13:44:51 2015

Tid	Sleep	Eat	VE Work	Leisure	
00:01:03	0.600000	0.200000	0.600000	0.600000	
00:02:02	0.600000	0.200000	0.600000	0.600000	
00:03:02	0.600000	0.200000	0.600000	0.600000	
00:04:03	0.600000	0.200000	0.600000	0.600000	
00:05:02	0.600000	0.200000	0.600000	0.600000	
00:06:02	0.600000	0.210000	0.590000	0.600000	
00:07:03	0.600000	0.220000	0.580000	0.600000	
00:08:02	0.600000	0.230000	0.570000	0.600000	
00:09:02	0.600000	0.240000	0.560000	0.600000	
00:10:03	0.600000	0.250000	0.550000	0.600000	
00:11:02	0.600000	0.260000	0.540000	0.600000	
00:12:02	0.600000	0.270000	0.530000	0.600000	
00:13:03	0.600000	0.280000	0.520000	0.600000	
00:14:02	0.600000	0.290000	0.510000	0.600000	
00:15:02	0.600000	0.300000	0.500000	0.600000	
00:16:03	0.600000	0.310000	0.490000	0.600000	
00:17:03	0.600000	0.320000	0.480000	0.600000	
00:18:02	0.600000	0.330000	0.470000	0.600000	
00:19:03	0.600000	0.340000	0.460000	0.600000	
00:20:03	0.600000	0.350000	0.450000	0.600000	
00:21:03	0.600000	0.360000	0.440000	0.600000	
00:22:02	0.600000	0.370000	0.430000	0.600000	
00:23:02	0.600000	0.380000	0.420000	0.600000	
00:24:03	0.600000	0.390000	0.410000	0.600000	
00:25:03	0.600000	0.400000	0.400000	0.600000	
00:26:02	0.600000	0.410000	0.390000	0.600000	
00:27:02	0.600000	0.420000	0.380000	0.600000	
00:28:03	0.600000	0.430000	0.370000	0.600000	
00:29:03	0.600000	0.440000	0.360000	0.600000	
00:30:02	0.600000	0.450000	0.350000	0.600000	
00:31:02	0.600000	0.460000	0.340000	0.600000	
00:32:02	0.600000	0.470000	0.330000	0.600000	
00:33:03	0.600000	0.480000	0.320000	0.600000	
00:34:03	0.600000	0.490000	0.310000	0.600000	
00:35:02	0.600000	0.500000	0.300000	0.600000	
00:36:02	0.600000	0.510000	0.290000	0.600000	
00:37:02	0.600000	0.520000	0.280000	0.600000	
00:38:02	0.600000	0.530000	0.270000	0.600000	
00:39:02	0.600000	0.540000	0.260000	0.600000	
00:40:03	0.600000	0.550000	0.250000	0.600000	
00:41:02	0.600000	0.560000	0.240000	0.600000	
00:42:03	0.600000	0.570000	0.230000	0.600000	
00:43:02	0.600000	0.580000	0.220000	0.600000	
00:44:02	0.600000	0.590000	0.210000	0.600000	
00:45:03	0.600000	0.600000	0.200000	0.600000	
00:46:03	0.600000	0.610000	0.190000	0.600000	
00:47:02	0.600000	0.620000	0.180000	0.600000	
00:48:02	0.600000	0.630000	0.170000	0.600000	
00:49:02	0.600000	0.640000	0.160000	0.600000	
00:50:03	0.600000	0.650000	0.150000	0.600000	
00:51:03	0.600000	0.660000	0.140000	0.600000	
00:52:02	0.600000	0.670000	0.130000	0.600000	
00:53:02	0.600000	0.680000	0.120000	0.600000	
00:54:02	0.600000	0.690000	0.110000	0.600000	
00:55:03	0.600000	0.700000	0.100000	0.600000	
00:56:03	0.600000	0.710000	0.090000	0.600000	
00:57:03	0.600000	0.720000	0.080000	0.600000	
00:58:02	0.600000	0.730000	0.070000	0.600000	
00:59:02	0.600000	0.740000	0.060000	0.600000	
00:60:03	0.600000	0.750000	0.050000	0.600000	
01:01:03	0.600000	0.760000	0.040000	0.600000	
01:02:02	0.600000	0.770000	0.030000	0.600000	
01:03:02	0.600000	0.780000	0.020000	0.600000	
01:04:02	0.600000	0.780000	0.020000	0.600000	
01:05:02	0.600000	0.780000	0.020000	0.600000	
01:06:03	0.600000	0.780000	0.030000	0.590000	
01:07:03	0.600000	0.780000	0.040000	0.580000	
01:08:02	0.600000	0.780000	0.050000	0.570000	
01:09:02	0.600000	0.780000	0.060000	0.560000	
01:10:02	0.600000	0.780000	0.070000	0.550000	
01:11:03	0.600000	0.780000	0.080000	0.540000	
01:12:02	0.600000	0.780000	0.090000	0.530000	
01:13:02	0.600000	0.780000	0.100000	0.520000	
01:14:02	0.600000	0.780000	0.110000	0.510000	
01:15:03	0.600000	0.780000	0.120000	0.500000	
01:16:03	0.600000	0.780000	0.130000	0.490000	
01:17:02	0.600000	0.780000	0.140000	0.480000	
01:18:02	0.600000	0.780000	0.150000	0.470000	
01:19:03	0.600000	0.780000	0.160000	0.460000	
01:20:03	0.600000	0.780000	0.170000	0.450000	
01:21:02	0.600000	0.780000	0.180000	0.440000	
01:22:02	0.600000	0.780000	0.190000	0.430000	
01:23:02	0.600000	0.780000	0.200000	0.420000	
01:24:02	0.600000	0.780000	0.210000	0.410000	
01:25:03	0.600000	0.780000	0.220000	0.400000	
01:26:03	0.600000	0.780000	0.230000	0.390000	
01:27:02	0.600000	0.780000	0.240000	0.380000	
